iter	RMSE
250	521.2828395
251	521.0692138
252	520.6691834
253	520.283987
254	519.958573
255	519.5649706
256	519.2437034
257	518.8585454
258	518.4696886
259	518.1566197
260	517.8772567
261	517.6368764
262	517.3230929
263	517.05218
264	516.6939375
265	516.4154904
266	516.1819908
267	515.952655
268	515.7544675
269	515.4750024
270	515.3699705
271	515.1915219
272	515.0716753
273	514.7981337
274	514.4828557
275	514.1488187
276	514.0137453
277	513.9033101
278	513.5963301
279	513.4309155
280	513.192752
281	512.7884828
282	512.4975037
283	512.2026953
284	511.9566649
285	511.4884018
286	511.2571894
287	511.0640656
288	510.7492589
289	510.3068268
290	510.1243306
291	509.860589
292	509.605718
293	509.3483451
294	509.1483061
295	508.9433657
296	508.8435053
297	508.6676417
298	508.4145319
299	508.2469783
300	508.1312686
301	507.6536904
302	507.3947343
303	507.2141037
304	507.0896078
305	507.0315824
306	506.9291319
307	506.6459494
308	506.3586423
309	506.1712643
310	505.9757467
311	505.5594847
312	505.2158671
313	504.9994434
314	504.8967308
315	504.811049
316	504.6498394
317	504.5254034
318	504.4757772
319	504.1962048
320	504.0047317
321	503.7802265
322	503.5346694
323	503.4478111
324	503.2489165
325	503.1225308
326	502.9133947
327	502.8923754
328	502.6371468
329	502.3926661
330	502.2220713
331	502.1820631
332	501.8452828
333	501.5744408
334	501.426146
335	501.1722369
336	501.1542631
337	501.0049837
338	500.6621962
339	500.3919248
340	500.2080431
341	499.9579563
342	499.721636
343	499.6853222
344	499.4954697
345	499.3181897
346	499.040201
347	498.8152085
348	498.7841929
349	498.4520099
350	498.2482575
351	497.9058834
352	497.6176303
353	497.3020188
354	497.0779992
355	497.036002
356	496.7348229
357	496.483572
358	496.3795908
359	496.2208464
360	496.139175
361	495.9218198
362	495.7279957
363	495.6764221
364	495.4771731
365	495.1892735
366	495.0351487
367	494.9989472
368	494.7808177
369	494.7348506
370	494.6235438
371	494.4026969
372	494.2225986
373	493.9771254
374	493.8770042
375	493.8253868
376	493.6291868
377	493.5970932
378	493.4079242
379	493.1449178
380	492.8554996
381	492.7591855
382	492.5738123
383	492.2852973
384	492.1590574
385	492.14525
386	492.1323711
387	491.9212065
388	491.9086934
389	491.7197
390	491.5295173
391	491.3808263
392	491.2465583
393	491.026985
394	490.862522
395	490.8506115
396	490.7520988
397	490.5272362
398	490.4064694
399	490.2224046
400	489.9849039
401	489.7851644
402	489.7577802
403	489.5088113
404	489.335591
405	489.2217269
406	489.2161284
407	488.9561835
408	488.9067723
409	488.7488467
410	488.6672481
411	488.5103419
412	488.2749819
413	488.0860831
414	488.0521484
415	487.9825874
416	487.7181468
417	487.6932469
418	487.4893433
419	487.3670352
420	487.3384671
421	487.3147238
422	487.1325266
423	486.9184074
424	486.7501474
425	486.5867506
426	486.3333975
427	486.1995172
428	486.0923564
429	485.9186395
430	485.756967
431	485.600063
432	485.4777316
433	485.3747542
434	485.2216384
435	485.1969297
436	485.1817679
437	485.1680588
438	484.9478681
439	484.8344597
440	484.6886252
441	484.4667952
442	484.457016
443	484.3443884
444	484.1377549
445	483.9716676
446	483.9419546
447	483.704351
448	483.4993181
449	483.2686247
450	483.1452911
451	482.9632789
452	482.793354
453	482.7877129
454	482.6775494
455	482.6080948
456	482.4951776
457	482.4939107
458	482.298416
459	482.0891067
460	481.9876685
461	481.7816213
462	481.702444
463	481.6213067
464	481.4269708
465	481.2411871
466	481.0458346
467	481.0424788
468	480.8364353
469	480.7125876
470	480.7107083
471	480.7094095
472	480.5976396
473	480.4148405
474	480.3189837
475	480.0530117
476	479.9032373
477	479.7355216
478	479.7334956
479	479.5272845
480	479.2851293
481	479.1478671
482	478.9339201
483	478.7763172
484	478.7004617
485	478.4937623
486	478.4925469
487	478.3193193
488	478.3181593
489	478.1696537
490	478.0104555
491	477.9097698
492	477.9086168
493	477.7247393
494	477.5783291
495	477.4372511
496	477.3197224
497	477.1867458
498	476.987224
499	476.8908624
500	476.8074466
501	476.6968772
502	476.5464538
503	476.310376
504	476.1438855
505	476.083369
506	476.0822295
507	475.8987883
508	475.7515059
509	475.6834598
510	475.5128671
511	475.5118829
512	475.3076266
513	475.2538828
514	475.193825
515	475.1921628
516	475.1178344
517	475.1167898
518	475.0902524
519	474.9294015
520	474.7264793
521	474.520087
522	474.518385
523	474.5167751
524	474.5158356
525	474.3783688
526	474.3767457
527	474.2315864
528	474.0911109
529	473.9485315
530	473.7807105
531	473.7100706
532	473.5997029
533	473.5987442
534	473.510892
535	473.5094286
536	473.2868975
537	473.1679791
538	473.1670738
539	473.012603
540	472.7772364
541	472.7758929
542	472.6707456
543	472.530457
544	472.529669
545	472.4196811
546	472.4189274
547	472.3587162
548	472.1451883
549	472.0440226
550	471.9056991
551	471.8171932
552	471.6984759
553	471.697759
554	471.6970745
555	471.5516831
556	471.4662762
557	471.3807163
558	471.2229573
559	471.0565586
560	470.946817
561	470.946078
562	470.9138273
563	470.8081767
564	470.623024
565	470.4427598
566	470.2789962
567	470.0898463
568	469.9984712
569	469.8794377
570	469.6580436
571	469.5298329
572	469.3677447
573	469.2505026
574	469.1076421
575	468.934707
576	468.7843177
577	468.6210416
578	468.5002075
579	468.3255756
580	468.2766852
581	468.1406641
582	468.0087325
583	467.8158512
584	467.646808
585	467.4045022
586	467.272407
587	467.1099559
588	466.9431578
589	466.7457127
590	466.6558992
591	466.6113899
592	466.5635555
593	466.3739392
594	466.1829844
595	466.0460892
596	465.9149548
597	465.8102799
598	465.6709529
599	465.5568546
600	465.5253776
601	465.3989531
602	465.3565788
603	465.2703867
604	465.2170059
605	465.0928389
606	464.9318937
607	464.8175858
608	464.7169085
609	464.6781627
610	464.6775715
611	464.4927718
612	464.3303582
613	464.2426234
614	464.0644653
615	464.0476006
616	463.9710832
617	463.9705227
618	463.8253087
619	463.6796378
620	463.5667851
621	463.4434001
622	463.3765546
623	463.2415636
624	463.1291397
625	463.0171836
626	462.8684838
627	462.7634808
628	462.6600096
629	462.5447604
630	462.4733891
631	462.3610628
632	462.2041592
633	462.0538755
634	461.890949
635	461.804777
636	461.7024201
637	461.6519637
638	461.5269516
639	461.4444319
640	461.3145436
641	461.1595102
642	461.0335528
643	460.8328358
644	460.7815875
645	460.6474033
646	460.6161235
647	460.4495015
648	460.3086734
649	460.1976994
650	460.1376562
651	459.9888269
652	459.8903828
653	459.7403074
654	459.666048
655	459.596771
656	459.5414235
657	459.4785536
658	459.3096657
659	459.2075064
660	459.0238445
661	458.9404155
662	458.8897266
663	458.8425049
664	458.7090257
665	458.5874781
666	458.4734573
667	458.409146
668	458.2537729
669	458.116864
670	457.9319706
671	457.8768251
672	457.7631498
673	457.685564
674	457.6369731
675	457.5317839
676	457.4824776
677	457.3665886
678	457.2136543
679	457.1961858
680	457.0914103
681	457.0751355
682	456.8769561
683	456.8102564
684	456.7361495
685	456.5702663
686	456.4541764
687	456.3896525
688	456.3890721
689	456.243683
690	456.2027347
691	456.2021704
692	456.139948
693	456.0381248
694	455.9839839
695	455.9239467
696	455.8361524
697	455.7509106
698	455.6247646
699	455.5748702
700	455.4659013
701	455.3187807
702	455.1877824
703	455.1292285
704	455.1152313
705	455.0738587
706	454.9198905
707	454.8914191
708	454.8136603
709	454.615628
710	454.5113163
711	454.3689621
712	454.3089055
713	454.1247453
714	453.9494416
715	453.8691907
716	453.8686938
717	453.7889867
718	453.7699951
719	453.682919
720	453.5540032
721	453.5047492
722	453.4324519
723	453.3596596
724	453.2857105
725	453.1763636
726	453.0342353
727	452.9380791
728	452.8346851
729	452.7891051
730	452.7481036
731	452.706164
732	452.6668835
733	452.6300711
734	452.5348052
735	452.4229407
736	452.3659286
737	452.2494181
738	452.2068213
739	452.1100538
740	451.9708736
741	451.9308052
742	451.8468792
743	451.6844429
744	451.5984483
745	451.404794
746	451.3029465
747	451.266002
748	451.2141405
749	451.1805479
750	451.0906436
751	451.0573664
752	450.9785669
753	450.8782714
754	450.7720072
755	450.7448553
756	450.5755584
757	450.4823229
758	450.406442
759	450.2840379
760	450.1979493
761	450.1710908
762	450.1265331
763	450.0824739
764	449.9203732
765	449.8758839
766	449.8410763
767	449.8185297
768	449.7373618
769	449.6750707
770	449.6322267
771	449.5257673
772	449.4814503
773	449.4234927
774	449.2505767
775	449.2208196
776	449.0833571
777	448.9810489
778	448.9112073
779	448.7627828
780	448.7373288
781	448.7180736
782	448.6789447
783	448.6410106
784	448.5615659
785	448.4700783
786	448.399804
787	448.3493747
788	448.2504001
789	448.1830964
790	448.0196659
791	447.9830552
792	447.953442
793	447.8612726
794	447.7641044
795	447.741254
796	447.6079431
797	447.5401586
798	447.4675264
799	447.4116182
800	447.3897403
801	447.3400759
802	447.3193083
803	447.2995729
804	447.2808089
805	447.2584269
806	447.1851607
807	447.1584963
808	447.0313109
809	446.9301526
810	446.7694746
811	446.7333428
812	446.665277
813	446.5710501
814	446.5362072
815	446.3931933
816	446.2614492
817	446.1681553
818	446.0516454
819	446.0258714
820	445.9579579
821	445.8309583
822	445.7391943
823	445.5697442
824	445.5488626
825	445.4546665
826	445.4017044
827	445.3059235
828	445.2876471
829	445.1321447
830	445.0291983
831	444.8822822
832	444.8309275
833	444.7005908
834	444.6478294
835	444.6134935
836	444.6008351
837	444.5095181
838	444.4830436
839	444.3803659
840	444.2140819
841	444.0628385
842	444.0515601
843	443.9757503
844	443.9585017
845	443.8520213
846	443.7423031
847	443.7191914
848	443.6451869
849	443.5809159
850	443.50656
851	443.3768243
852	443.3207347
853	443.3018459
854	443.1633598
855	443.0373591
856	442.9322415
857	442.8463608
858	442.7769204
859	442.7490283
860	442.6356329
861	442.5607332
862	442.5137262
863	442.4704812
864	442.3659048
865	442.3405159
866	442.3110105
867	442.265184
868	442.2645342
869	442.2103321
870	442.2096907
871	442.1671217
872	442.0170564
873	441.9082506
874	441.875244
875	441.7519288
876	441.7228036
877	441.6294137
878	441.6038936
879	441.5943474
880	441.5937232
881	441.510078
882	441.4708302
883	441.4519691
884	441.3302409
885	441.3246107
886	441.282999
887	441.2195743
888	441.14452
889	441.0475953
890	440.9891445
891	440.9441773
892	440.9436054
893	440.7627383
894	440.672771
895	440.5196617
896	440.4658614
897	440.301432
898	440.2513869
899	440.0116938
900	439.8252308
901	439.8009406
902	439.6610431
903	439.5988066
904	439.4904575
905	439.3538872
906	439.2589475
907	439.1602541
908	439.0847118
909	438.9366878
910	438.8956138
911	438.8749794
912	438.7539531
913	438.6627105
914	438.5928344
915	438.48726
916	438.4866992
917	438.480064
918	438.4699845
919	438.3779095
920	438.2751523
921	438.2147219
922	438.2141528
923	438.0352225
924	437.973238
925	437.9407776
926	437.9403359
927	437.8353962
928	437.7867356
929	437.7021049
930	437.5602309
931	437.499182
932	437.447013
933	437.319343
934	437.1596098
935	437.1590812
936	437.0639081
937	436.9105511
938	436.8664713
939	436.7317133
940	436.6869014
941	436.686404
942	436.5823417
943	436.5025382
944	436.4011608
945	436.3600452
946	436.2610538
947	436.2226266
948	436.208729
949	436.2082182
950	436.2077283
951	436.155279
952	436.0097269
953	435.8637334
954	435.8029486
955	435.7908945
956	435.7139299
957	435.6767434
958	435.5691843
959	435.5324395
960	435.4789414
961	435.3816111
962	435.2901767
963	435.2677213
964	435.2199965
965	435.1397495
966	435.0607638
967	435.0394777
968	434.992018
969	434.9194032
970	434.8775676
971	434.8153958
972	434.7426966
973	434.7390094
974	434.695946
975	434.6928042
976	434.6924244
977	434.6920664
978	434.6083782
979	434.5444552
980	434.5415535
981	434.5013079
982	434.4545461
983	434.3237539
984	434.290717
985	434.2315945
986	434.2124972
987	434.1931604
988	434.1657704
989	434.1104972
990	434.0494968
991	433.9671426
992	433.8471885
993	433.7662299
994	433.6747878
995	433.654696
996	433.6050871
997	433.6011931
998	433.5184506
999	433.4441077
