iter	Passed	Remaining
448	1109	1362
449	1112	1359
450	1114	1356
451	1116	1353
452	1119	1351
453	1121	1348
454	1123	1345
455	1125	1342
456	1127	1339
457	1129	1336
458	1132	1334
459	1134	1332
460	1137	1329
461	1139	1327
462	1141	1324
463	1144	1321
464	1146	1319
465	1148	1316
466	1151	1313
467	1153	1310
468	1155	1308
469	1157	1305
470	1159	1302
471	1162	1299
472	1164	1296
473	1166	1293
474	1168	1291
475	1171	1289
476	1173	1286
477	1175	1284
478	1177	1281
479	1179	1278
480	1182	1275
481	1184	1273
482	1187	1270
483	1189	1267
484	1191	1265
485	1193	1262
486	1195	1259
487	1198	1257
488	1200	1254
489	1203	1252
490	1205	1249
491	1208	1247
492	1210	1244
493	1212	1242
494	1214	1239
495	1217	1236
496	1219	1234
497	1222	1232
498	1224	1229
499	1226	1226
500	1228	1224
501	1231	1221
502	1233	1218
503	1235	1216
504	1237	1213
505	1240	1210
506	1242	1207
507	1244	1205
508	1246	1202
509	1248	1199
510	1251	1197
511	1255	1196
512	1257	1194
513	1259	1191
514	1262	1188
515	1264	1186
516	1267	1184
517	1269	1181
518	1271	1178
519	1273	1175
520	1275	1173
521	1278	1170
522	1279	1167
523	1281	1164
524	1284	1161
525	1286	1159
526	1289	1157
527	1291	1154
528	1294	1152
529	1296	1149
530	1298	1147
531	1301	1144
532	1303	1142
533	1305	1139
534	1308	1137
535	1310	1134
536	1312	1132
537	1314	1129
538	1316	1126
539	1318	1123
540	1321	1120
541	1322	1117
542	1325	1115
543	1327	1112
544	1329	1109
545	1332	1107
546	1333	1104
547	1336	1102
548	1338	1099
549	1340	1096
550	1342	1094
551	1345	1091
552	1347	1089
553	1349	1086
554	1351	1083
555	1354	1081
556	1356	1079
557	1359	1076
558	1361	1074
559	1364	1071
560	1366	1069
561	1368	1066
562	1371	1064
563	1373	1061
564	1375	1058
565	1377	1056
566	1380	1054
567	1383	1052
568	1385	1049
569	1387	1046
570	1389	1044
571	1392	1041
572	1394	1039
573	1397	1036
574	1399	1034
575	1401	1031
576	1404	1029
577	1406	1026
578	1409	1024
579	1411	1021
580	1413	1019
581	1415	1016
582	1418	1014
583	1420	1011
584	1422	1009
585	1424	1006
586	1427	1004
587	1429	1001
588	1432	999
589	1434	996
